sno_x,constituency,winner,party,sno_y,state,population,growth,sr,literacy,values
74,vaishali,raghuvansh prasad singh,rjd,87,bihar,"3,495,021",28.57 %,895,66.6,1
75,gopalganj,purnmasi ram,jd(u),163,bihar,"2,562,012",19.02 %,1021,65.47,2
76,siwan,om prakash yadav,ind,101,bihar,"3,330,464",22.70 %,988,69.45,1
77,maharajganj,uma shanaker singh,rjd,148,uttar pradesh,"2,684,703",23.50 %,943,62.76,1
441,maharajganj,harsh vardhan,inc,148,uttar pradesh,"2,684,703",23.50 %,943,62.76,1
78,saran,lalu prasad,rjd,59,bihar,"3,951,862",21.64 %,954,65.96,1
81,samastipur,maheshwar hazari,jd(u),45,bihar,"4,261,566",25.53 %,911,61.86,2
82,begusarai,dr. monazir hassan,jd(u),126,bihar,"2,970,541",26.44 %,895,63.87,2
83,khagaria,dinesh chandra yadav,jd(u),296,bihar,"1,666,886",30.19 %,886,57.92,2
84,bhagalpur,syed shahnawaz hussain,bjp,120,bihar,"3,037,766",25.36 %,880,63.14,0
85,banka,digvijay singh,ind,227,bihar,"2,034,763",26.48 %,907,58.17,1
86,munger,rajiv ranjan singh alias lalan,jd(u),358,bihar,"1,367,765",20.21 %,876,70.46,2
87,nalanda,kaushalendra kumar,jd(u),134,bihar,"2,877,653",21.39 %,922,64.43,2
91,buxar,jagada nand singh,rjd,285,bihar,"1,706,352",21.67 %,922,70.14,1
95,aurangabad,sushil kumar singh,jd(u),71,maharashtra,"3,701,282",27.76 %,923,79.02,2
95,aurangabad,sushil kumar singh,jd(u),169,bihar,"2,540,073",26.18 %,926,70.32,2
242,aurangabad,chandrakant khaire,shs,71,maharashtra,"3,701,282",27.76 %,923,79.02,0
242,aurangabad,chandrakant khaire,shs,169,bihar,"2,540,073",26.18 %,926,70.32,0
96,gaya,hari manjhi,bjp,42,bihar,"4,391,418",26.43 %,937,63.67,0
97,nawada,bhola singh,bjp,205,bihar,"2,219,146",22.63 %,939,59.76,0
98,jamui,bhudeo choudhary,jd(u),273,bihar,"1,760,405",25.85 %,922,59.79,2
99,north goa,shripad yesso naik,bjp,480,goa,"818,008",7.84 %,963,89.57,0
100,south goa,cosme francisco caitano,inc,515,goa,"640,537",8.73 %,986,87.59,1
101,kachchh,jat poonamben veljibhai,bjp,219,gujarat,"2,092,371",32.16 %,908,70.59,0
102,banaskantha,gadhvi mukeshkumar,inc,111,gujarat,"3,120,506",24.61 %,938,65.32,1
103,patan,jagdish thakor,inc,360,gujarat,"1,343,734",13.61 %,935,72.3,1
104,mahesana,patel jayshreeben kanubhai,bjp,226,gujarat,"2,035,064",10.73 %,926,83.61,0
105,sabarkantha,chauhan mahendrasinh,bjp,183,gujarat,"2,428,589",16.62 %,952,75.79,0
106,gandhinagar,l.k.advani,bjp,350,gujarat,"1,391,753",4.29 %,923,84.16,0
109,surendranagar,koli patel somabhai gandalal,inc,274,gujarat,"1,756,268",15.91 %,930,72.13,1
110,rajkot,kuvarjibhai mohanbhai bavalia,inc,67,gujarat,"3,804,558",20.02 %,927,80.96,1
111,porbandar,radadiya vitthalbhai hansrajbhai,inc,529,gujarat,"585,449",9.06 %,950,75.78,1
112,jamnagar,ahir vikrambhai arjanbhai madam,inc,211,gujarat,"2,160,119",13.44 %,939,73.65,1
113,junagadh,solanki dinubhai boghabhai,bjp,142,gujarat,"2,743,082",12.05 %,953,75.8,0
114,amreli,kachhadia naranbhai,bjp,329,gujarat,"1,514,190",8.63 %,964,74.25,0
115,bhavnagar,rajendrasinh ghanshyamsinh,bjp,133,gujarat,"2,880,365",16.63 %,933,75.52,0
116,anand,solanki bharatbhai madhavsinh,inc,218,gujarat,"2,092,745",12.70 %,925,84.37,1
117,kheda,dinsha patel,inc,196,gujarat,"2,299,885",13.62 %,940,82.65,1
118,panchmahal,chauhan prabhatsinh pratapsinh,bjp,187,gujarat,"2,390,776",18.05 %,949,70.99,0
120,vadodara,balkrishna khanderao shukla,bjp,48,gujarat,"4,165,626",14.38 %,934,78.92,0
122,bharuch,mansukhbhai dhanjibhai vasava,bjp,321,gujarat,"1,551,019",13.16 %,925,81.51,0
124,surat,shrimati darshana vikram,bjp,12,gujarat,"6,081,322",42.24 %,787,85.53,0
125,navsari,c. r. patil,bjp,366,gujarat,"1,329,672",8.15 %,961,83.88,0
126,valsad,kishanbhai vestabhai patel,inc,286,gujarat,"1,705,678",20.92 %,922,78.55,1
127,ambala,selja,inc,410,haryana,"1,128,350",11.23 %,885,81.75,1
128,kurukshetra,naveen jindal,inc,452,haryana,"964,655",16.86 %,888,76.31,1
129,sirsa,ashok tanwar,inc,378,haryana,"1,295,189",15.99 %,897,68.82,1
130,hisar,bhajan lal s/o kheraj,hjcbl,277,haryana,"1,743,931",13.45 %,872,72.89,1
131,karnal,arvind kumar sharma,inc,334,haryana,"1,505,324",18.14 %,887,74.73,1
132,sonipat,jitender singh,inc,342,haryana,"1,450,001",13.35 %,856,79.12,1
133,rohtak,deepender singh,inc,430,haryana,"1,061,204",12.88 %,867,80.22,1
135,gurgaon,inderjit singh,inc,328,haryana,"1,514,432",73.96 %,854,84.7,1
136,faridabad,avtar singh bhadana,inc,263,haryana,"1,809,733",32.54 %,873,81.7,1
137,kangra,dr. rajan sushant,bjp,331,himachal pradesh,"1,510,075",12.77 %,1012,85.67,0
138,mandi,virbhadra singh,inc,446,himachal pradesh,"999,777",10.92 %,1007,81.53,1
139,hamirpur,anurag singh thakur,bjp,417,uttar pradesh,"1,104,285",5.80 %,861,68.77,0
139,hamirpur,anurag singh thakur,bjp,552,himachal pradesh,"454,768",10.19 %,1095,88.15,0
425,hamirpur,vijay bahadur singh,bsp,417,uttar pradesh,"1,104,285",5.80 %,861,68.77,1
425,hamirpur,vijay bahadur singh,bsp,552,himachal pradesh,"454,768",10.19 %,1095,88.15,1
140,shimla,virender kashyap,bjp,483,himachal pradesh,"814,010",12.67 %,915,83.64,0
142,srinagar,farooq abdullah,jkn,388,jammu and kashmir,"1,236,829",20.35 %,900,69.41,1
143,anantnag,mirza mehboob beg,jkn,422,jammu and kashmir,"1,078,692",38.58 %,927,62.69,1
145,udhampur,ch. lal singh,inc,538,jammu and kashmir,"554,985",20.78 %,870,68.49,1
146,jammu,madan lal sharma,inc,326,jammu and kashmir,"1,529,958",12.74 %,880,83.45,1
148,belgaum,angadi suresh channabasappa,bjp,25,karnataka,"4,779,661",13.41 %,973,73.48,0
149,bagalkot,gaddigoudar p.c.,bjp,249,karnataka,"1,889,752",14.40 %,989,68.82,0
150,bijapur,ramesh chandappa jigajinagi,bjp,210,karnataka,"2,177,331",20.50 %,960,67.15,0
150,bijapur,ramesh chandappa jigajinagi,bjp,581,chhattisgarh,"255,230",8.78 %,984,40.86,0
151,gulbarga,mallikarjun kharge,inc,162,karnataka,"2,566,326",18.01 %,971,64.85,1
152,raichur,pakkirappa.s.,bjp,244,karnataka,"1,928,812",15.51 %,1000,59.56,0
153,bidar,n.dharam singh,inc,287,karnataka,"1,703,300",13.37 %,956,70.51,1
154,koppal,shivaramagouda shivanagouda,bjp,351,karnataka,"1,389,920",16.21 %,986,68.09,0
155,bellary,j. shantha,bjp,181,karnataka,"2,452,595",20.99 %,983,67.43,0
156,haveri,udasi shivkumar chanabasappa,bjp,313,karnataka,"1,597,668",11.02 %,950,77.4,0
157,dharwad,pralhad joshi,bjp,256,karnataka,"1,847,023",15.13 %,971,80.0,0
158,uttara kannada,anantkumar hegde,bjp,345,karnataka,"1,437,169",6.17 %,979,84.06,0
159,davanagere,g.m. siddeswara,bjp,241,karnataka,"1,945,497",8.63 %,972,75.74,0
160,shimoga,b.y. raghavendra,bjp,275,karnataka,"1,752,753",6.71 %,998,80.45,0
162,hassan,h. d. devegowda,jd(s),269,karnataka,"1,776,421",3.18 %,1010,76.07,1
163,dakshina kannada,nalin kumar kateel,bjp,221,karnataka,"2,089,649",10.11 %,1020,88.57,0
164,chitradurga,janardhana swamy,bjp,297,karnataka,"1,659,456",9.33 %,974,73.71,0
165,tumkur,g.s. basavaraj,bjp,150,karnataka,"2,678,980",3.65 %,984,75.14,0
166,mandya,n cheluvaraya swamy @,jd(s),264,karnataka,"1,805,769",2.38 %,995,70.4,1
167,mysore,adagur h vishwanath,inc,125,karnataka,"3,001,127",13.63 %,985,72.79,1
168,chamarajanagar,r.dhruvanarayana,inc,441,karnataka,"1,020,791",5.73 %,993,61.43,1
169,bangalore rural,h.d.kumaraswamy,jd(s),450,karnataka,"990,923",16.45 %,946,77.93,1
174,kolar,k.h.muniyappa,inc,325,karnataka,"1,536,401",10.77 %,979,74.39,1
175,kasaragod,p karunakaran,cpm,375,kerala,"1,307,375",8.58 %,1080,90.09,2
176,kannur,k. sudhakaran,inc,170,kerala,"2,523,003",4.73 %,1136,95.1,1
178,wayanad,m.i. shanavas,inc,481,kerala,"817,420",4.71 %,1035,89.03,1
179,kozhikode,m.k. raghavan,inc,114,kerala,"3,086,293",7.20 %,1098,95.08,1
180,malappuram,e. ahamed,mul,50,kerala,"4,112,920",13.45 %,1098,93.57,0
182,palakkad,m.b. rajesh,cpm,139,kerala,"2,809,934",7.35 %,1067,89.31,2
184,thrissur,p c chacko,inc,110,kerala,"3,121,200",4.94 %,1108,95.08,1
186,ernakulam,prof. k v thomas,inc,104,kerala,"3,282,388",5.69 %,1027,95.89,1
187,idukki,adv. p.t thomas,inc,416,kerala,"1,108,974",-1.79 %,1006,91.99,1
188,kottayam,jose k.mani (karingozheckal),kec(m),234,kerala,"1,974,551",1.07 %,1039,97.21,1
189,alappuzha,k.c venugopal,inc,215,kerala,"2,127,789",0.88 %,1100,95.72,1
191,pathanamthitta,anto antony punnathaniyil,inc,398,kerala,"1,197,412",-2.97 %,1132,96.55,1
192,kollam,n.peethambarakurup,inc,153,kerala,"2,635,375",1.94 %,1113,94.09,1
194,thiruvananthapuram,shashi tharoor,inc,103,kerala,"3,301,427",2.07 %,1087,93.02,1
195,morena,narendra singh tomar,bjp,236,madhya pradesh,"1,965,970",23.44 %,840,71.03,0
196,bhind,ashok argal,bjp,288,madhya pradesh,"1,703,005",19.21 %,837,75.26,0
197,gwalior,yashodhara raje scindia,bjp,228,madhya pradesh,"2,032,036",24.50 %,864,76.65,0
198,guna,jyotiraditya madhavrao scindia,inc,386,madhya pradesh,"1,241,519",26.97 %,912,63.23,1
199,sagar,bhupendra singh,bjp,188,madhya pradesh,"2,378,458",17.63 %,893,76.46,0
200,tikamgarh,virendra kumar,bjp,343,madhya pradesh,"1,445,166",20.13 %,901,61.43,0
201,damoh,shivraj bhaiya,bjp,382,madhya pradesh,"1,264,219",16.63 %,910,69.73,0
203,satna,ganesh singh,bjp,204,madhya pradesh,"2,228,935",19.19 %,926,72.26,0
204,rewa,deoraj singh patel,bsp,190,madhya pradesh,"2,365,106",19.86 %,931,71.62,1
205,sidhi,govind prasad mishra,bjp,411,madhya pradesh,"1,127,033",23.72 %,957,64.43,0
206,shahdol,rajesh nandini singh,inc,426,madhya pradesh,"1,066,063",17.39 %,974,66.67,1
207,jabalpur,rakesh singh,bjp,179,madhya pradesh,"2,463,289",14.51 %,929,81.07,0
208,mandla,basori singh masram,inc,432,madhya pradesh,"1,054,905",17.97 %,1008,66.87,1
209,balaghat,k. d. deshmukh,bjp,289,madhya pradesh,"1,701,698",13.60 %,1021,77.09,0
210,chhindwara,kamal nath,inc,220,madhya pradesh,"2,090,922",13.07 %,964,71.16,1
211,hoshangabad,uday pratap singh,inc,387,madhya pradesh,"1,241,350",14.49 %,914,75.29,1
212,vidisha,sushma swaraj,bjp,339,madhya pradesh,"1,458,875",20.09 %,896,70.53,0
213,bhopal,kailash joshi,bjp,189,madhya pradesh,"2,371,061",28.62 %,918,80.37,0
214,rajgarh,narayansingh amlabe,inc,322,madhya pradesh,"1,545,814",23.26 %,956,61.21,1
215,dewas,sajjan singh verma,inc,320,madhya pradesh,"1,563,715",19.53 %,942,69.35,1
216,ujjain,guddu premchand,inc,233,madhya pradesh,"1,986,864",16.12 %,955,72.34,1
218,ratlam,kantilal bhuria,inc,341,madhya pradesh,"1,455,069",19.72 %,971,66.78,1
219,dhar,gajendra singh rajukhedi,inc,209,madhya pradesh,"2,185,793",25.60 %,964,59.0,1
220,indore,sumitra mahajan (tai),bjp,105,madhya pradesh,"3,276,697",32.88 %,928,80.87,0
223,betul,jyoti dhurve,bjp,318,madhya pradesh,"1,575,362",12.92 %,971,68.9,0
224,nandurbar,gavit manikrao hodlya,inc,303,maharashtra,"1,648,295",25.66 %,978,64.38,1
225,dhule,sonawane pratap narayanrao,bjp,223,maharashtra,"2,050,862",20.08 %,946,72.8,0
226,jalgaon,a.t. nana patil,bjp,46,maharashtra,"4,229,917",14.86 %,925,78.2,0
229,akola,dhotre sanjay shamrao,bjp,262,maharashtra,"1,813,906",11.27 %,946,88.05,0
230,amravati,adsul anandrao vithoba,shs,131,maharashtra,"2,888,445",10.79 %,951,87.38,0
231,wardha,datta meghe,inc,377,maharashtra,"1,300,774",5.18 %,946,86.99,1
233,nagpur,muttemwar vilasrao baburaoji,inc,28,maharashtra,"4,653,570",14.40 %,951,88.39,1
236,chandrapur,ahir hansaraj gangaram,bjp,207,maharashtra,"2,204,307",6.43 %,961,80.01,0
238,hingoli,subhash bapurao wankhede,shs,403,maharashtra,"1,177,345",19.27 %,942,78.17,0
239,nanded,khatgaonkar patil bhaskarrao,inc,99,maharashtra,"3,361,292",16.86 %,943,75.45,1
240,parbhani,adv. dudhgaonkar ganeshrao,shs,259,maharashtra,"1,836,086",20.19 %,947,73.34,0
241,jalna,danve raosaheb dadarao,bjp,237,maharashtra,"1,959,046",21.46 %,937,71.52,0
243,dindori,chavan harishchandra deoram,bjp,501,madhya pradesh,"704,524",21.32 %,1002,63.9,0
244,nashik,sameer bhujbal,ncp,11,maharashtra,"6,107,187",22.30 %,934,82.31,1
248,thane,dr.sanjeev ganesh naik,ncp,1,maharashtra,"11,060,148",36.01 %,886,84.53,1
257,pune,kalmadi suresh,inc,4,maharashtra,"9,429,408",30.37 %,915,86.15,1
260,ahmadnagar,gandhi dilipkumar mansukhlal,bjp,33,maharashtra,"4,543,159",12.44 %,939,79.05,0
263,osmanabad,patil padamsinha bajirao,ncp,298,maharashtra,"1,657,576",11.50 %,924,78.44,1
264,latur,awale jaywant gangaram,inc,180,maharashtra,"2,454,196",17.97 %,928,77.26,1
265,solapur,shinde sushilkumar sambhajirao,inc,43,maharashtra,"4,317,756",12.16 %,938,77.02,1
267,sangli,pratik prakashbapu patil,inc,136,maharashtra,"2,822,143",9.24 %,966,81.48,1
268,satara,bhonsle shrimant chh. udyanraje,ncp,124,maharashtra,"3,003,741",6.93 %,988,82.87,1
270,kolhapur,sadashivrao dadoba mandlik,ind,65,maharashtra,"3,876,001",10.01 %,957,81.51,1
278,bargarh,sanjay bhoi,inc,338,orissa,"1,481,255",10.02 %,977,74.62,1
279,sundargarh,hemanand biswal,inc,217,orissa,"2,093,437",14.35 %,973,73.34,1
280,sambalpur,amarnath pradhan,inc,436,orissa,"1,041,099",11.27 %,976,76.22,1
282,mayurbhanj,laxman tudu,bjd,171,orissa,"2,519,738",13.33 %,1006,63.17,1
284,bhadrak,arjun charan sethi,bjd,333,orissa,"1,506,337",12.94 %,981,82.78,1
286,dhenkanal,tathagata satpathy,bjd,400,orissa,"1,192,811",11.80 %,947,78.76,1
288,kalahandi,bhakta charan das,inc,317,orissa,"1,576,869",18.07 %,1003,59.22,1
290,kandhamal,rudramadhab ray,bjd,497,orissa,"733,110",13.10 %,1037,64.13,1
291,cuttack,bhartruhari mahtab,bjd,156,orissa,"2,624,470",12.10 %,940,85.5,1
292,kendrapara,baijayant panda,bjd,344,orissa,"1,440,361",10.63 %,1007,85.15,1
294,puri,pinaki misra,bjd,290,orissa,"1,698,730",13.05 %,963,84.67,1
298,koraput,jayaram pangi,bjd,355,orissa,"1,379,647",16.86 %,1032,49.21,1
299,gurdaspur,partap singh bajwa,inc,197,punjab,"2,298,323",9.26 %,895,79.95,1
300,amritsar,navjot singh sidhu,bjp,174,punjab,"2,490,656",15.47 %,889,76.27,0
302,jalandhar,mohinder singh kaypee,inc,208,punjab,"2,193,590",11.76 %,915,82.48,1
303,hoshiarpur,santosh chowdhary,inc,314,punjab,"1,586,625",7.11 %,961,84.59,1
305,ludhiana,manish tewari,inc,86,punjab,"3,498,739",15.36 %,873,82.2,1
306,fatehgarh sahib,sukhdev singh,inc,525,punjab,"600,163",11.46 %,871,79.35,1
307,faridkot,paramjit kaur gulshan,sad,519,punjab,"617,508",12.09 %,890,69.55,0
309,bathinda,harsimrat kaur badal,sad,353,punjab,"1,388,525",17.34 %,868,68.28,0
310,sangrur,vijay inder singla,inc,300,punjab,"1,655,169",12.35 %,885,67.99,1
311,patiala,preneet kaur,inc,247,punjab,"1,895,686",19.62 %,891,75.28,1
312,ganganagar,bharat ram meghwal,inc,235,rajasthan,"1,969,168",10.04 %,887,69.64,1
313,bikaner,arjun ram meghwal,bjp,191,rajasthan,"2,363,937",41.19 %,905,65.13,0
314,churu,ram singh kaswan,bjp,224,rajasthan,"2,039,547",6.01 %,940,66.75,0
316,sikar,mahadev singh,inc,151,rajasthan,"2,677,333",17.03 %,947,71.91,1
318,jaipur,mahesh joshi,inc,10,rajasthan,"6,626,178",26.19 %,910,75.51,1
319,alwar,jitendra singh,inc,76,rajasthan,"3,674,179",22.78 %,895,70.72,1
320,bharatpur,ratan singh,inc,166,rajasthan,"2,548,462",21.29 %,880,70.11,1
322,dausa,kirodi lal,ind,306,rajasthan,"1,634,409",24.09 %,905,68.16,1
324,ajmer,sachin pilot,inc,161,rajasthan,"2,583,052",18.40 %,951,69.33,1
325,nagaur,dr. jyoti mirdha,inc,102,rajasthan,"3,307,743",19.20 %,950,62.8,1
326,pali,badri ram jakhar,inc,225,rajasthan,"2,037,573",11.94 %,987,62.39,1
327,jodhpur,chandresh kumari,inc,72,rajasthan,"3,687,165",27.74 %,916,65.94,1
328,barmer,harish choudhary,inc,158,rajasthan,"2,603,751",32.52 %,902,56.53,1
330,udaipur,raghuvir singh meena,inc,118,rajasthan,"3,068,420",23.69 %,958,61.82,1
331,banswara,tarachand bhagora,inc,267,rajasthan,"1,797,485",26.53 %,980,56.33,1
333,rajsamand,gopal singh,inc,405,rajasthan,"1,156,597",17.18 %,990,63.14,1
334,bhilwara,dr. c. p. joshi,inc,184,rajasthan,"2,408,523",19.60 %,973,61.37,1
335,kota,ijyaraj singh,inc,239,rajasthan,"1,951,014",24.39 %,911,76.56,1
338,thiruvallur,venugopal.p,admk,70,tamil nadu,"3,728,104",35.33 %,987,84.03,2
343,kancheepuram,viswanathan.p,inc,57,tamil nadu,"3,998,252",38.95 %,986,84.49,1
345,vellore,abdul rahman,dmk,63,tamil nadu,"3,936,331",13.20 %,1007,79.17,1
346,krishnagiri,sugavanam. e.g.,dmk,251,tamil nadu,"1,879,809",20.41 %,958,71.46,1
347,dharmapuri,thamaraiselvan. r,dmk,332,tamil nadu,"1,506,843",16.34 %,946,68.54,1
348,tiruvannamalai,venugopal.d,dmk,177,tamil nadu,"2,464,875",12.75 %,994,74.21,1
350,viluppuram,anandan m,admk,92,tamil nadu,"3,458,873",16.84 %,987,71.88,2
352,salem,semmalai s,admk,90,tamil nadu,"3,482,056",15.44 %,954,72.86,2
353,namakkal,gandhiselvan.s,dmk,280,tamil nadu,"1,726,601",15.61 %,986,74.63,1
354,erode,ganeshamurthi.a.,mdmk,200,tamil nadu,"2,251,744",11.66 %,993,72.58,1
355,tiruppur,sivasami c,admk,175,tamil nadu,"2,479,052",29.11 %,989,78.68,2
357,coimbatore,natarajan.p.r.,cpm,93,tamil nadu,"3,458,045",18.56 %,1000,83.98,2
359,dindigul,chitthan n s v,inc,212,tamil nadu,"2,159,775",12.31 %,998,76.26,1
360,karur,thambidurai.m,admk,429,tamil nadu,"1,064,493",13.77 %,1015,75.6,2
361,tiruchirappalli,kumar.p,admk,146,tamil nadu,"2,722,290",12.57 %,1013,83.23,2
362,perambalur,"napoleon,d.",dmk,535,tamil nadu,"565,223",14.50 %,1003,74.32,1
363,cuddalore,alagiri s,inc,157,tamil nadu,"2,605,914",14.02 %,987,78.04,1
366,nagapattinam,vijayan a k s,dmk,310,tamil nadu,"1,616,450",8.57 %,1025,83.59,1
367,thanjavur,palanimanickam.s.s,dmk,185,tamil nadu,"2,405,890",8.56 %,1035,82.64,1
368,sivaganga,chidambaram p,inc,362,tamil nadu,"1,339,101",15.90 %,1003,79.85,1
369,madurai,alagiri m.k,dmk,119,tamil nadu,"3,038,252",17.84 %,990,83.45,1
370,theni,aaron rashid.j.m,inc,385,tamil nadu,"1,245,899",13.89 %,991,77.26,1
371,virudhunagar,manicka tagore,inc,242,tamil nadu,"1,942,288",10.91 %,1007,80.15,1
372,ramanathapuram,sivakumar @ j.k. ritheesh. k,dmk,359,tamil nadu,"1,353,445",13.96 %,983,80.72,1
373,thoothukkudi,jeyadurai.s.r,dmk,276,tamil nadu,"1,750,176",11.32 %,1023,86.16,1
375,tirunelveli,ramasubbu s,inc,116,tamil nadu,"3,077,233",12.97 %,1023,82.5,1
376,kanniyakumari,helen davidson j,dmk,253,tamil nadu,"1,870,374",11.60 %,1019,91.75,1
379,saharanpur,jagdish singh rana,bsp,91,uttar pradesh,"3,466,382",19.66 %,890,70.49,1
381,muzaffarnagar,kadir rana,bsp,49,uttar pradesh,"4,143,512",16.94 %,889,69.12,1
382,bijnor,sanjay singh chauhan,rld,73,uttar pradesh,"3,682,713",17.60 %,917,68.48,1
384,moradabad,mohammed azharuddin,inc,26,uttar pradesh,"4,772,006",25.22 %,906,56.77,1
385,rampur,jaya prada nahata,sp,194,uttar pradesh,"2,335,819",21.42 %,909,53.34,2
388,meerut,rajendra agarwal,bjp,94,uttar pradesh,"3,443,689",14.89 %,886,72.84,0
389,baghpat,ajit singh,rld,376,uttar pradesh,"1,303,048",11.95 %,861,72.01,1
390,ghaziabad,rajnath singh,bjp,27,uttar pradesh,"4,681,645",42.27 %,881,78.07,0
393,aligarh,raj kumari chauhan,bsp,77,uttar pradesh,"3,673,889",22.78 %,882,67.52,1
395,mathura,jayant chaudhary,rld,167,uttar pradesh,"2,547,184",22.78 %,863,70.36,1
396,agra,dr. ramshankar,bjp,41,uttar pradesh,"4,418,797",22.05 %,868,71.58,0
398,firozabad,akhilesh yadav,sp,172,uttar pradesh,"2,498,156",21.69 %,875,71.92,2
399,mainpuri,mulayam singh yadav,sp,254,uttar pradesh,"1,868,529",17.02 %,881,75.99,2
400,etah,kalyan singh r o madholi,ind,271,uttar pradesh,"1,774,480",13.62 %,873,70.81,1
403,bareilly,praveen singh aron,inc,39,uttar pradesh,"4,448,359",22.93 %,887,58.49,1
404,pilibhit,feroze varun gandhi,bjp,229,uttar pradesh,"2,031,007",23.45 %,895,61.47,0
405,shahjahanpur,mithlesh,sp,123,uttar pradesh,"3,006,538",18.00 %,872,59.54,2
406,kheri,zafar ali naqvi,inc,56,uttar pradesh,"4,021,243",25.38 %,894,60.56,1
408,sitapur,kaisar jahan,bsp,38,uttar pradesh,"4,483,992",23.88 %,888,61.12,1
409,hardoi,usha verma,sp,51,uttar pradesh,"4,092,845",20.44 %,868,64.57,2
411,unnao,annutandon,inc,112,uttar pradesh,"3,108,367",15.11 %,907,66.37,1
413,lucknow,lal ji tandon,bjp,31,uttar pradesh,"4,589,838",25.82 %,917,77.29,0
414,rae bareli,sonia gandhi,inc,97,uttar pradesh,"3,405,559",18.56 %,943,67.25,1
416,sultanpur,dr.sanjay singh,inc,68,uttar pradesh,"3,797,117",18.11 %,983,69.27,1
417,pratapgarh,rajkumari ratna singh,inc,109,uttar pradesh,"3,209,141",17.50 %,998,70.09,1
417,pratapgarh,rajkumari ratna singh,inc,472,rajasthan,"867,848",22.78 %,983,55.97,1
418,farrukhabad,salman khursheed,inc,250,uttar pradesh,"1,885,204",20.05 %,874,69.04,1
419,etawah,premdas,sp,315,uttar pradesh,"1,581,810",18.15 %,870,78.41,2
420,kannauj,akhilesh yadav,sp,299,uttar pradesh,"1,656,616",19.27 %,879,72.7,2
423,jalaun,ghansyam anuragi,sp,294,uttar pradesh,"1,689,974",16.19 %,865,73.75,2
424,jhansi,pradeep kumar jain (aditya),inc,232,uttar pradesh,"1,998,603",14.54 %,890,75.05,1
