constituency,elec_per,sno_x,winner,party,sno_y,state,population,growth,sr,literacy,values
bhadrak,0.5318954404623829,284,arjun charan sethi,bjd,333,orissa,"1,506,337",12.94 %,981,82.78,1
sirsa,0.8972179321197085,129,ashok tanwar,inc,378,haryana,"1,295,189",15.99 %,897,68.82,1
alwar,0.7723214498666747,319,jitendra singh,inc,76,rajasthan,"3,674,179",22.78 %,895,70.72,1
birbhum,0.4105422939059283,500,satabdi roy,aitc,84,west bengal,"3,502,404",16.15 %,956,70.68,2
saran,0.147702659324152,78,lalu prasad,rjd,59,bihar,"3,951,862",21.64 %,954,65.96,1
bahraich,0.1441820766224558,434,kamal kishor,inc,89,uttar pradesh,"3,487,731",46.48 %,892,49.36,1
madurai,0.9451110924519291,369,alagiri m.k,dmk,119,tamil nadu,"3,038,252",17.84 %,990,83.45,1
purnia,0.134315988593957,70,uday singh alias pappu singh,bjp,106,bihar,"3,264,619",28.33 %,921,51.08,0
sabarkantha,0.9166327061611672,105,chauhan mahendrasinh,bjp,183,gujarat,"2,428,589",16.62 %,952,75.79,0
rajgarh,0.6761192108773489,214,narayansingh amlabe,inc,322,madhya pradesh,"1,545,814",23.26 %,956,61.21,1
darbhanga,0.1581586177967847,72,kirti azad,bjp,61,bihar,"3,937,385",19.47 %,911,56.56,0
kheda,0.8054503672095107,117,dinsha patel,inc,196,gujarat,"2,299,885",13.62 %,940,82.65,1
karimganj,0.2869640480976513,45,lalit mohan suklabaidya,inc,389,assam,"1,228,686",21.90 %,963,78.22,1
raipur,0.8461083748419113,508,ramesh bais,bjp,53,chhattisgarh,"4,063,872",34.70 %,984,75.56,0
supaul,0.1157611999891108,66,vishwa mohan kumar,jd(u),203,bihar,"2,229,076",28.66 %,929,57.67,2
ernakulam,0.9741707157806192,186,prof. k v thomas,inc,104,kerala,"3,282,388",5.69 %,1027,95.89,1
mandya,0.9166740900843456,166,n cheluvaraya swamy @,jd(s),264,karnataka,"1,805,769",2.38 %,995,70.4,1
banda,0.2278077815682738,426,r. k. singh patel,sp,266,uttar pradesh,"1,799,410",17.05 %,863,66.67,2
tiruppur,0.9348756825259096,355,sivasami c,admk,175,tamil nadu,"2,479,052",29.11 %,989,78.68,2
gurgaon,0.9535587976621902,135,inderjit singh,inc,328,haryana,"1,514,432",73.96 %,854,84.7,1
banswara,0.3294632832412261,331,tarachand bhagora,inc,267,rajasthan,"1,797,485",26.53 %,980,56.33,1
wardha,0.8793280031716665,231,datta meghe,inc,377,maharashtra,"1,300,774",5.18 %,946,86.99,1
kanniyakumari,0.9519440884217326,376,helen davidson j,dmk,253,tamil nadu,"1,870,374",11.60 %,1019,91.75,1
baghpat,0.5752136752136752,389,ajit singh,rld,376,uttar pradesh,"1,303,048",11.95 %,861,72.01,1
unnao,0.1752732642456003,411,annutandon,inc,112,uttar pradesh,"3,108,367",15.11 %,907,66.37,1
nagpur,0.9214888813907902,233,muttemwar vilasrao baburaoji,inc,28,maharashtra,"4,653,570",14.40 %,951,88.39,1
vadodara,0.9070082409123292,120,balkrishna khanderao shukla,bjp,48,gujarat,"4,165,626",14.38 %,934,78.92,0
shahdol,0.4549507000076371,206,rajesh nandini singh,inc,426,madhya pradesh,"1,066,063",17.39 %,974,66.67,1
hyderabad,0.9866241185599288,40,asaduddin owaisi,aimim,60,andhra pradesh,"3,943,323",2.97 %,954,83.25,0
kota,0.8948831698808661,335,ijyaraj singh,inc,239,rajasthan,"1,951,014",24.39 %,911,76.56,1
sikar,0.7616044405256297,316,mahadev singh,inc,151,rajasthan,"2,677,333",17.03 %,947,71.91,1
rajsamand,0.554937851149862,333,gopal singh,inc,405,rajasthan,"1,156,597",17.18 %,990,63.14,1
thanjavur,0.9182050459943742,367,palanimanickam.s.s,dmk,185,tamil nadu,"2,405,890",8.56 %,1035,82.64,1
surendranagar,0.8823702959364603,109,koli patel somabhai gandalal,inc,274,gujarat,"1,756,268",15.91 %,930,72.13,1
karnal,0.9391040621892034,131,arvind kumar sharma,inc,334,haryana,"1,505,324",18.14 %,887,74.73,1
gwalior,0.8304596690166575,197,yashodhara raje scindia,bjp,228,madhya pradesh,"2,032,036",24.50 %,864,76.65,0
srinagar,0.9877872533562658,142,farooq abdullah,jkn,388,jammu and kashmir,"1,236,829",20.35 %,900,69.41,1
gorakhpur,0.4265652907965014,442,adityanath,bjp,40,uttar pradesh,"4,440,895",17.81 %,950,70.83,0
hoshiarpur,0.9703846597147658,303,santosh chowdhary,inc,314,punjab,"1,586,625",7.11 %,961,84.59,1
shimoga,0.904749352835711,160,b.y. raghavendra,bjp,275,karnataka,"1,752,753",6.71 %,998,80.45,0
nizamabad,0.9241281594222772,35,madhu yaskhi goud,inc,165,andhra pradesh,"2,551,335",8.77 %,1040,61.25,1
kaushambi,0.158299956945364,428,shailendra kumar,sp,312,uttar pradesh,"1,599,596",23.70 %,908,61.28,2
varanasi,0.62036831922969,455,dr. murli manohar joshi,bjp,75,uttar pradesh,"3,676,841",17.15 %,913,75.6,0
kandhamal,0.1670658821887863,290,rudramadhab ray,bjd,497,orissa,"733,110",13.10 %,1037,64.13,1
chitradurga,0.8676071530426974,164,janardhana swamy,bjp,297,karnataka,"1,659,456",9.33 %,974,73.71,0
kannur,0.9410134957263226,176,k. sudhakaran,inc,170,kerala,"2,523,003",4.73 %,1136,95.1,1
aurangabad,0.8002815689117511,95,sushil kumar singh,jd(u),71,maharashtra,"3,701,282",27.76 %,923,79.02,2
aurangabad,0.8002815689117511,95,sushil kumar singh,jd(u),169,bihar,"2,540,073",26.18 %,926,70.32,2
aurangabad,0.8002815689117511,242,chandrakant khaire,shs,71,maharashtra,"3,701,282",27.76 %,923,79.02,0
aurangabad,0.8002815689117511,242,chandrakant khaire,shs,169,bihar,"2,540,073",26.18 %,926,70.32,0
patiala,0.9756427268203682,311,preneet kaur,inc,247,punjab,"1,895,686",19.62 %,891,75.28,1
samastipur,0.1035111300836241,81,maheshwar hazari,jd(u),45,bihar,"4,261,566",25.53 %,911,61.86,2
sitapur,0.1285363558607867,408,kaisar jahan,bsp,38,uttar pradesh,"4,483,992",23.88 %,888,61.12,1
chhindwara,0.7866871659644745,210,kamal nath,inc,220,madhya pradesh,"2,090,922",13.07 %,964,71.16,1
amritsar,0.9602917325105194,300,navjot singh sidhu,bjp,174,punjab,"2,490,656",15.47 %,889,76.27,0
nandurbar,0.5825675874389515,224,gavit manikrao hodlya,inc,303,maharashtra,"1,648,295",25.66 %,978,64.38,1
rajnandgaon,0.873123425293549,506,madhusudan yadav,bjp,324,chhattisgarh,"1,537,133",19.79 %,1015,75.96,0
virudhunagar,0.9367154695518872,371,manicka tagore,inc,242,tamil nadu,"1,942,288",10.91 %,1007,80.15,1
hoshangabad,0.7842668334903905,211,uday pratap singh,inc,387,madhya pradesh,"1,241,350",14.49 %,914,75.29,1
navsari,0.9099280702708584,125,c. r. patil,bjp,366,gujarat,"1,329,672",8.15 %,961,83.88,0
mysore,0.9309231837448542,167,adagur h vishwanath,inc,125,karnataka,"3,001,127",13.63 %,985,72.79,1
ahmadnagar,0.7514205742624325,260,gandhi dilipkumar mansukhlal,bjp,33,maharashtra,"4,543,159",12.44 %,939,79.05,0
raichur,0.8753537765384584,152,pakkirappa.s.,bjp,244,karnataka,"1,928,812",15.51 %,1000,59.56,0
jalna,0.7443522039802534,241,danve raosaheb dadarao,bjp,237,maharashtra,"1,959,046",21.46 %,937,71.52,0
khagaria,0.1240185412922145,83,dinesh chandra yadav,jd(u),296,bihar,"1,666,886",30.19 %,886,57.92,2
saharanpur,0.6867835022140121,379,jagdish singh rana,bsp,91,uttar pradesh,"3,466,382",19.66 %,890,70.49,1
bilaspur,0.9837544901992468,505,dilip singh judev,bjp,152,chhattisgarh,"2,663,629",33.29 %,971,70.78,0
bilaspur,0.9837544901992468,505,dilip singh judev,bjp,563,himachal pradesh,"381,956",12.05 %,981,84.59,0
puri,0.5456422775669721,294,pinaki misra,bjd,290,orissa,"1,698,730",13.05 %,963,84.67,1
godda,0.1722187253503732,514,nishikant dubey,bjp,372,jharkhand,"1,313,551",25.35 %,938,56.4,0
nawada,0.089869040718214,97,bhola singh,bjp,205,bihar,"2,219,146",22.63 %,939,59.76,0
satna,0.6155616779424881,203,ganesh singh,bjp,204,madhya pradesh,"2,228,935",19.19 %,926,72.26,0
thrissur,0.970147748813573,184,p c chacko,inc,110,kerala,"3,121,200",4.94 %,1108,95.08,1
kannauj,0.2206050125924703,420,akhilesh yadav,sp,299,uttar pradesh,"1,656,616",19.27 %,879,72.7,2
jammu,0.9759052500529772,146,madan lal sharma,inc,326,jammu and kashmir,"1,529,958",12.74 %,880,83.45,1
ratlam,0.7294893489267048,218,kantilal bhuria,inc,341,madhya pradesh,"1,455,069",19.72 %,971,66.78,1
gaya,0.1630936778155118,96,hari manjhi,bjp,42,bihar,"4,391,418",26.43 %,937,63.67,0
koraput,0.2535917564790585,298,jayaram pangi,bjd,355,orissa,"1,379,647",16.86 %,1032,49.21,1
kancheepuram,0.9671486170883944,343,viswanathan.p,inc,57,tamil nadu,"3,998,252",38.95 %,986,84.49,1
ujjain,0.8415235844883131,216,guddu premchand,inc,233,madhya pradesh,"1,986,864",16.12 %,955,72.34,1
gonda,0.1943457421283476,437,beni prasad verma,inc,95,uttar pradesh,"3,433,919",24.17 %,921,58.71,1
amravati,0.8039771211992859,230,adsul anandrao vithoba,shs,131,maharashtra,"2,888,445",10.79 %,951,87.38,0
munger,0.3429813951901239,86,rajiv ranjan singh alias lalan,jd(u),358,bihar,"1,367,765",20.21 %,876,70.46,2
tikamgarh,0.4435788432359448,200,virendra kumar,bjp,343,madhya pradesh,"1,445,166",20.13 %,901,61.43,0
viluppuram,0.9305035289671196,350,anandan m,admk,92,tamil nadu,"3,458,873",16.84 %,987,71.88,2
perambalur,0.9086351496977932,362,"napoleon,d.",dmk,535,tamil nadu,"565,223",14.50 %,1003,74.32,1
vaishali,0.1106514749630903,74,raghuvansh prasad singh,rjd,87,bihar,"3,495,021",28.57 %,895,66.6,1
latur,0.8050676053308138,264,awale jaywant gangaram,inc,180,maharashtra,"2,454,196",17.97 %,928,77.26,1
allahabad,0.4357472514142182,430,kunwar rewati raman singh,sp,13,uttar pradesh,"5,954,391",20.63 %,901,72.32,2
bidar,0.8657761362077819,153,n.dharam singh,inc,287,karnataka,"1,703,300",13.37 %,956,70.51,1
mandla,0.5770886924277752,208,basori singh masram,inc,432,madhya pradesh,"1,054,905",17.97 %,1008,66.87,1
sangli,0.8289535513569948,267,pratik prakashbapu patil,inc,136,maharashtra,"2,822,143",9.24 %,966,81.48,1
jaipur,0.8640208952931485,318,mahesh joshi,inc,10,rajasthan,"6,626,178",26.19 %,910,75.51,1
ramanathapuram,0.8857277466222891,372,sivakumar @ j.k. ritheesh. k,dmk,359,tamil nadu,"1,353,445",13.96 %,983,80.72,1
jalandhar,0.9826613782365392,302,mohinder singh kaypee,inc,208,punjab,"2,193,590",11.76 %,915,82.48,1
ambala,0.9596772255624282,127,selja,inc,410,haryana,"1,128,350",11.23 %,885,81.75,1
porbandar,0.9380535229103384,111,radadiya vitthalbhai hansrajbhai,inc,529,gujarat,"585,449",9.06 %,950,75.78,1
udaipur,0.5785302651957127,330,raghuvir singh meena,inc,118,rajasthan,"3,068,420",23.69 %,958,61.82,1
jamnagar,0.9109243618264772,112,ahir vikrambhai arjanbhai madam,inc,211,gujarat,"2,160,119",13.44 %,939,73.65,1
pune,0.9270020759826004,257,kalmadi suresh,inc,4,maharashtra,"9,429,408",30.37 %,915,86.15,1
nanded,0.7446987138562524,239,khatgaonkar patil bhaskarrao,inc,99,maharashtra,"3,361,292",16.86 %,943,75.45,1
jaunpur,0.2720693625672425,451,dhananjay singh,bsp,36,uttar pradesh,"4,494,204",14.89 %,1024,71.55,1
bhavnagar,0.9231156353232656,115,rajendrasinh ghanshyamsinh,bjp,133,gujarat,"2,880,365",16.63 %,933,75.52,0
sivaganga,0.9190256170312318,368,chidambaram p,inc,362,tamil nadu,"1,339,101",15.90 %,1003,79.85,1
theni,0.915959116038303,370,aaron rashid.j.m,inc,385,tamil nadu,"1,245,899",13.89 %,991,77.26,1
hisar,0.8768112820954572,130,bhajan lal s/o kheraj,hjcbl,277,haryana,"1,743,931",13.45 %,872,72.89,1
etah,0.23957738041959,400,kalyan singh r o madholi,ind,271,uttar pradesh,"1,774,480",13.62 %,873,70.81,1
sonipat,0.9384257096025336,132,jitender singh,inc,342,haryana,"1,450,001",13.35 %,856,79.12,1
junagadh,0.9461754330003,113,solanki dinubhai boghabhai,bjp,142,gujarat,"2,743,082",12.05 %,953,75.8,0
bikaner,0.5872622815650185,313,arjun ram meghwal,bjp,191,rajasthan,"2,363,937",41.19 %,905,65.13,0
lucknow,0.7084553563070833,413,lal ji tandon,bjp,31,uttar pradesh,"4,589,838",25.82 %,917,77.29,0
barpeta,0.25054952846912,50,ismail hussain,inc,292,assam,"1,693,622",21.43 %,953,63.81,1
patan,0.8300355903616248,103,jagdish thakor,inc,360,gujarat,"1,343,734",13.61 %,935,72.3,1
rohtak,0.9516441387058784,133,deepender singh,inc,430,haryana,"1,061,204",12.88 %,867,80.22,1
haveri,0.9092995673762352,156,udasi shivkumar chanabasappa,bjp,313,karnataka,"1,597,668",11.02 %,950,77.4,0
bastar,0.5138279113579547,510,baliram kashyap,bjp,348,chhattisgarh,"1,413,199",17.96 %,1023,54.4,0
idukki,0.8839899485876033,187,adv. p.t thomas,inc,416,kerala,"1,108,974",-1.79 %,1006,91.99,1
lakhimpur,0.296627179345901,58,ranee narah,inc,435,assam,"1,042,137",17.22 %,968,77.2,1
aligarh,0.443457953199738,393,raj kumari chauhan,bsp,77,uttar pradesh,"3,673,889",22.78 %,882,67.52,1
rajkot,0.9549225624847468,110,kuvarjibhai mohanbhai bavalia,inc,67,gujarat,"3,804,558",20.02 %,927,80.96,1
hazaribagh,0.58722491675713,525,yashwant sinha,bjp,279,jharkhand,"1,734,495",20.65 %,947,69.75,0
guna,0.597465963642087,198,jyotiraditya madhavrao scindia,inc,386,madhya pradesh,"1,241,519",26.97 %,912,63.23,1
kodarma,0.5463615640890759,516,babulal marandi,jvm,500,jharkhand,"716,259",43.42 %,950,66.84,0
durg,0.8861588944316098,507,saroj pandey,bjp,100,chhattisgarh,"3,343,872",18.98 %,988,79.06,0
gopalganj,0.1645021542372198,75,purnmasi ram,jd(u),163,bihar,"2,562,012",19.02 %,1021,65.47,2
muzaffarpur,0.1905876693150803,73,captain jai narayan prasad,jd(u),24,bihar,"4,801,062",28.14 %,900,63.43,2
balaghat,0.7048439045421115,209,k. d. deshmukh,bjp,289,madhya pradesh,"1,701,698",13.60 %,1021,77.09,0
jalaun,0.3627058098524123,423,ghansyam anuragi,sp,294,uttar pradesh,"1,689,974",16.19 %,865,73.75,2
bharatpur,0.681582221256967,320,ratan singh,inc,166,rajasthan,"2,548,462",21.29 %,880,70.11,1
basti,0.2846336133126201,439,arvind kumar chaudhary,bsp,178,uttar pradesh,"2,464,464",18.21 %,963,67.22,1
dausa,0.6714495459531202,322,kirodi lal,ind,306,rajasthan,"1,634,409",24.09 %,905,68.16,1
amreli,0.929472814388362,114,kachhadia naranbhai,bjp,329,gujarat,"1,514,190",8.63 %,964,74.25,0
kolar,0.935055439741382,174,k.h.muniyappa,inc,325,karnataka,"1,536,401",10.77 %,979,74.39,1
siwan,0.0971500094516397,76,om prakash yadav,ind,101,bihar,"3,330,464",22.70 %,988,69.45,1
chandauli,0.337956962248658,454,ramkishun,sp,238,uttar pradesh,"1,952,756",18.83 %,918,71.48,2
salem,0.9091064415131588,352,semmalai s,admk,90,tamil nadu,"3,482,056",15.44 %,954,72.86,2
araria,0.0771032406871432,67,pradeep kumar singh,bjp,138,bihar,"2,811,569",30.25 %,921,53.53,0
bhagalpur,0.3098387022328894,84,syed shahnawaz hussain,bjp,120,bihar,"3,037,766",25.36 %,880,63.14,0
hamirpur,0.266890311989998,139,anurag singh thakur,bjp,417,uttar pradesh,"1,104,285",5.80 %,861,68.77,0
hamirpur,0.266890311989998,139,anurag singh thakur,bjp,552,himachal pradesh,"454,768",10.19 %,1095,88.15,0
hamirpur,0.266890311989998,425,vijay bahadur singh,bsp,417,uttar pradesh,"1,104,285",5.80 %,861,68.77,1
hamirpur,0.266890311989998,425,vijay bahadur singh,bsp,552,himachal pradesh,"454,768",10.19 %,1095,88.15,1
cuttack,0.6167393808736643,291,bhartruhari mahtab,bjd,156,orissa,"2,624,470",12.10 %,940,85.5,1
kishanganj,0.1749063927008647,68,mohammad asrarul haque,inc,293,bihar,"1,690,400",30.40 %,950,55.46,1
mathura,0.6846412826236723,395,jayant chaudhary,rld,167,uttar pradesh,"2,547,184",22.78 %,863,70.36,1
sangrur,0.973018501417062,310,vijay inder singla,inc,300,punjab,"1,655,169",12.35 %,885,67.99,1
muzaffarnagar,0.5402994186857102,381,kadir rana,bsp,49,uttar pradesh,"4,143,512",16.94 %,889,69.12,1
vellore,0.933782154557552,345,abdul rahman,dmk,63,tamil nadu,"3,936,331",13.20 %,1007,79.17,1
sheohar,0.067190994633586,62,rama devi,bjp,511,bihar,"656,246",27.19 %,893,53.78,0
barmer,0.2824939255341956,328,harish choudhary,inc,158,rajasthan,"2,603,751",32.52 %,902,56.53,1
ajmer,0.8131283178800284,324,sachin pilot,inc,161,rajasthan,"2,583,052",18.40 %,951,69.33,1
alappuzha,0.9614556812266338,189,k.c venugopal,inc,215,kerala,"2,127,789",0.88 %,1100,95.72,1
jamui,0.1058512898527689,98,bhudeo choudhary,jd(u),273,bihar,"1,760,405",25.85 %,922,59.79,2
hassan,0.9334019734819192,162,h. d. devegowda,jd(s),269,karnataka,"1,776,421",3.18 %,1010,76.07,1
thoothukkudi,0.943125920693309,373,jeyadurai.s.r,dmk,276,tamil nadu,"1,750,176",11.32 %,1023,86.16,1
