sno_x,constituency,winner,party,sno_y,state,population,growth,sr,literacy,values,fmcg
157,dharwad,pralhad joshi,bjp,256,karnataka,"1,847,023",15.13 %,971,80.0,0,56.84
158,uttara kannada,anantkumar hegde,bjp,345,karnataka,"1,437,169",6.17 %,979,84.06,0,46.22
159,davanagere,g.m. siddeswara,bjp,241,karnataka,"1,945,497",8.63 %,972,75.74,0,59.16
160,shimoga,b.y. raghavendra,bjp,275,karnataka,"1,752,753",6.71 %,998,80.45,0,58.34
162,hassan,h. d. devegowda,jd(s),269,karnataka,"1,776,421",3.18 %,1010,76.07,1,55.78
163,dakshina kannada,nalin kumar kateel,bjp,221,karnataka,"2,089,649",10.11 %,1020,88.57,0,54.41
164,chitradurga,janardhana swamy,bjp,297,karnataka,"1,659,456",9.33 %,974,73.71,0,47.69
165,tumkur,g.s. basavaraj,bjp,150,karnataka,"2,678,980",3.65 %,984,75.14,0,44.85
166,mandya,n cheluvaraya swamy @,jd(s),264,karnataka,"1,805,769",2.38 %,995,70.4,1,51.89
167,mysore,adagur h vishwanath,inc,125,karnataka,"3,001,127",13.63 %,985,72.79,1,57.54
168,chamarajanagar,r.dhruvanarayana,inc,441,karnataka,"1,020,791",5.73 %,993,61.43,1,43.83
169,bangalore rural,h.d.kumaraswamy,jd(s),450,karnataka,"990,923",16.45 %,946,77.93,1,65.4
174,kolar,k.h.muniyappa,inc,325,karnataka,"1,536,401",10.77 %,979,74.39,1,53.51
175,kasaragod,p karunakaran,cpm,375,kerala,"1,307,375",8.58 %,1080,90.09,2,41.38
176,kannur,k. sudhakaran,inc,170,kerala,"2,523,003",4.73 %,1136,95.1,1,45.63
178,wayanad,m.i. shanavas,inc,481,kerala,"817,420",4.71 %,1035,89.03,1,49.41
179,kozhikode,m.k. raghavan,inc,114,kerala,"3,086,293",7.20 %,1098,95.08,1,43.05
180,malappuram,e. ahamed,mul,50,kerala,"4,112,920",13.45 %,1098,93.57,0,54.79
182,palakkad,m.b. rajesh,cpm,139,kerala,"2,809,934",7.35 %,1067,89.31,2,56.04
184,thrissur,p c chacko,inc,110,kerala,"3,121,200",4.94 %,1108,95.08,1,42.79
186,ernakulam,prof. k v thomas,inc,104,kerala,"3,282,388",5.69 %,1027,95.89,1,48.82
187,idukki,adv. p.t thomas,inc,416,kerala,"1,108,974",-1.79 %,1006,91.99,1,55.93
188,kottayam,jose k.mani (karingozheckal),kec(m),234,kerala,"1,974,551",1.07 %,1039,97.21,1,39.84
189,alappuzha,k.c venugopal,inc,215,kerala,"2,127,789",0.88 %,1100,95.72,1,44.89
191,pathanamthitta,anto antony punnathaniyil,inc,398,kerala,"1,197,412",-2.97 %,1132,96.55,1,37.61
192,kollam,n.peethambarakurup,inc,153,kerala,"2,635,375",1.94 %,1113,94.09,1,41.97
194,thiruvananthapuram,shashi tharoor,inc,103,kerala,"3,301,427",2.07 %,1087,93.02,1,48.35
195,morena,narendra singh tomar,bjp,236,madhya pradesh,"1,965,970",23.44 %,840,71.03,0,51.13
196,bhind,ashok argal,bjp,288,madhya pradesh,"1,703,005",19.21 %,837,75.26,0,56.79
197,gwalior,yashodhara raje scindia,bjp,228,madhya pradesh,"2,032,036",24.50 %,864,76.65,0,57.56
198,guna,jyotiraditya madhavrao scindia,inc,386,madhya pradesh,"1,241,519",26.97 %,912,63.23,1,45.92
199,sagar,bhupendra singh,bjp,188,madhya pradesh,"2,378,458",17.63 %,893,76.46,0,37.58
200,tikamgarh,virendra kumar,bjp,343,madhya pradesh,"1,445,166",20.13 %,901,61.43,0,44.57
201,damoh,shivraj bhaiya,bjp,382,madhya pradesh,"1,264,219",16.63 %,910,69.73,0,31.72
203,satna,ganesh singh,bjp,204,madhya pradesh,"2,228,935",19.19 %,926,72.26,0,39.71
204,rewa,deoraj singh patel,bsp,190,madhya pradesh,"2,365,106",19.86 %,931,71.62,1,39.32
205,sidhi,govind prasad mishra,bjp,411,madhya pradesh,"1,127,033",23.72 %,957,64.43,0,32.73
206,shahdol,rajesh nandini singh,inc,426,madhya pradesh,"1,066,063",17.39 %,974,66.67,1,26.11
207,jabalpur,rakesh singh,bjp,179,madhya pradesh,"2,463,289",14.51 %,929,81.07,0,43.74
208,mandla,basori singh masram,inc,432,madhya pradesh,"1,054,905",17.97 %,1008,66.87,1,17.95
209,balaghat,k. d. deshmukh,bjp,289,madhya pradesh,"1,701,698",13.60 %,1021,77.09,0,21.8
210,chhindwara,kamal nath,inc,220,madhya pradesh,"2,090,922",13.07 %,964,71.16,1,28.08
211,hoshangabad,uday pratap singh,inc,387,madhya pradesh,"1,241,350",14.49 %,914,75.29,1,49.68
212,vidisha,sushma swaraj,bjp,339,madhya pradesh,"1,458,875",20.09 %,896,70.53,0,46.78
213,bhopal,kailash joshi,bjp,189,madhya pradesh,"2,371,061",28.62 %,918,80.37,0,57.76
214,rajgarh,narayansingh amlabe,inc,322,madhya pradesh,"1,545,814",23.26 %,956,61.21,1,39.82
215,dewas,sajjan singh verma,inc,320,madhya pradesh,"1,563,715",19.53 %,942,69.35,1,49.11
216,ujjain,guddu premchand,inc,233,madhya pradesh,"1,986,864",16.12 %,955,72.34,1,55.92
218,ratlam,kantilal bhuria,inc,341,madhya pradesh,"1,455,069",19.72 %,971,66.78,1,43.41
219,dhar,gajendra singh rajukhedi,inc,209,madhya pradesh,"2,185,793",25.60 %,964,59.0,1,39.61
220,indore,sumitra mahajan (tai),bjp,105,madhya pradesh,"3,276,697",32.88 %,928,80.87,0,62.15
223,betul,jyoti dhurve,bjp,318,madhya pradesh,"1,575,362",12.92 %,971,68.9,0,30.22
224,nandurbar,gavit manikrao hodlya,inc,303,maharashtra,"1,648,295",25.66 %,978,64.38,1,26.73
225,dhule,sonawane pratap narayanrao,bjp,223,maharashtra,"2,050,862",20.08 %,946,72.8,0,42.86
226,jalgaon,a.t. nana patil,bjp,46,maharashtra,"4,229,917",14.86 %,925,78.2,0,39.33
229,akola,dhotre sanjay shamrao,bjp,262,maharashtra,"1,813,906",11.27 %,946,88.05,0,41.99
230,amravati,adsul anandrao vithoba,shs,131,maharashtra,"2,888,445",10.79 %,951,87.38,0,36.99
231,wardha,datta meghe,inc,377,maharashtra,"1,300,774",5.18 %,946,86.99,1,44.6
233,nagpur,muttemwar vilasrao baburaoji,inc,28,maharashtra,"4,653,570",14.40 %,951,88.39,1,52.03
236,chandrapur,ahir hansaraj gangaram,bjp,207,maharashtra,"2,204,307",6.43 %,961,80.01,0,40.06
238,hingoli,subhash bapurao wankhede,shs,403,maharashtra,"1,177,345",19.27 %,942,78.17,0,54.72
239,nanded,khatgaonkar patil bhaskarrao,inc,99,maharashtra,"3,361,292",16.86 %,943,75.45,1,52.5
240,parbhani,adv. dudhgaonkar ganeshrao,shs,259,maharashtra,"1,836,086",20.19 %,947,73.34,0,55.47
241,jalna,danve raosaheb dadarao,bjp,237,maharashtra,"1,959,046",21.46 %,937,71.52,0,50.12
243,dindori,chavan harishchandra deoram,bjp,501,madhya pradesh,"704,524",21.32 %,1002,63.9,0,13.47
244,nashik,sameer bhujbal,ncp,11,maharashtra,"6,107,187",22.30 %,934,82.31,1,56.61
248,thane,dr.sanjeev ganesh naik,ncp,1,maharashtra,"11,060,148",36.01 %,886,84.53,1,61.08
257,pune,kalmadi suresh,inc,4,maharashtra,"9,429,408",30.37 %,915,86.15,1,69.88
260,ahmadnagar,gandhi dilipkumar mansukhlal,bjp,33,maharashtra,"4,543,159",12.44 %,939,79.05,0,59.92
263,osmanabad,patil padamsinha bajirao,ncp,298,maharashtra,"1,657,576",11.50 %,924,78.44,1,49.15
264,latur,awale jaywant gangaram,inc,180,maharashtra,"2,454,196",17.97 %,928,77.26,1,54.39
265,solapur,shinde sushilkumar sambhajirao,inc,43,maharashtra,"4,317,756",12.16 %,938,77.02,1,58.34
267,sangli,pratik prakashbapu patil,inc,136,maharashtra,"2,822,143",9.24 %,966,81.48,1,54.62
268,satara,bhonsle shrimant chh. udyanraje,ncp,124,maharashtra,"3,003,741",6.93 %,988,82.87,1,59.11
270,kolhapur,sadashivrao dadoba mandlik,ind,65,maharashtra,"3,876,001",10.01 %,957,81.51,1,54.06
278,bargarh,sanjay bhoi,inc,338,orissa,"1,481,255",10.02 %,977,74.62,1,30.34
279,sundargarh,hemanand biswal,inc,217,orissa,"2,093,437",14.35 %,973,73.34,1,40.36
280,sambalpur,amarnath pradhan,inc,436,orissa,"1,041,099",11.27 %,976,76.22,1,36.87
282,mayurbhanj,laxman tudu,bjd,171,orissa,"2,519,738",13.33 %,1006,63.17,1,25.8
284,bhadrak,arjun charan sethi,bjd,333,orissa,"1,506,337",12.94 %,981,82.78,1,49.18
286,dhenkanal,tathagata satpathy,bjd,400,orissa,"1,192,811",11.80 %,947,78.76,1,31.89
288,kalahandi,bhakta charan das,inc,317,orissa,"1,576,869",18.07 %,1003,59.22,1,21.75
290,kandhamal,rudramadhab ray,bjd,497,orissa,"733,110",13.10 %,1037,64.13,1,18.19
291,cuttack,bhartruhari mahtab,bjd,156,orissa,"2,624,470",12.10 %,940,85.5,1,45.54
292,kendrapara,baijayant panda,bjd,344,orissa,"1,440,361",10.63 %,1007,85.15,1,49.57
294,puri,pinaki misra,bjd,290,orissa,"1,698,730",13.05 %,963,84.67,1,43.59
298,koraput,jayaram pangi,bjd,355,orissa,"1,379,647",16.86 %,1032,49.21,1,21.55
299,gurdaspur,partap singh bajwa,inc,197,punjab,"2,298,323",9.26 %,895,79.95,1,54.72
300,amritsar,navjot singh sidhu,bjp,174,punjab,"2,490,656",15.47 %,889,76.27,0,65.33
302,jalandhar,mohinder singh kaypee,inc,208,punjab,"2,193,590",11.76 %,915,82.48,1,62.42
303,hoshiarpur,santosh chowdhary,inc,314,punjab,"1,586,625",7.11 %,961,84.59,1,59.08
305,ludhiana,manish tewari,inc,86,punjab,"3,498,739",15.36 %,873,82.2,1,60.56
306,fatehgarh sahib,sukhdev singh,inc,525,punjab,"600,163",11.46 %,871,79.35,1,65.2
307,faridkot,paramjit kaur gulshan,sad,519,punjab,"617,508",12.09 %,890,69.55,0,62.73
310,sangrur,vijay inder singla,inc,300,punjab,"1,655,169",12.35 %,885,67.99,1,53.07
311,patiala,preneet kaur,inc,247,punjab,"1,895,686",19.62 %,891,75.28,1,66.78
312,ganganagar,bharat ram meghwal,inc,235,rajasthan,"1,969,168",10.04 %,887,69.64,1,65.63
313,bikaner,arjun ram meghwal,bjp,191,rajasthan,"2,363,937",41.19 %,905,65.13,0,68.71
314,churu,ram singh kaswan,bjp,224,rajasthan,"2,039,547",6.01 %,940,66.75,0,68.83
316,sikar,mahadev singh,inc,151,rajasthan,"2,677,333",17.03 %,947,71.91,1,75.77
318,jaipur,mahesh joshi,inc,10,rajasthan,"6,626,178",26.19 %,910,75.51,1,
319,alwar,jitendra singh,inc,76,rajasthan,"3,674,179",22.78 %,895,70.72,1,67.72
320,bharatpur,ratan singh,inc,166,rajasthan,"2,548,462",21.29 %,880,70.11,1,65.67
322,dausa,kirodi lal,ind,306,rajasthan,"1,634,409",24.09 %,905,68.16,1,65.29
324,ajmer,sachin pilot,inc,161,rajasthan,"2,583,052",18.40 %,951,69.33,1,
325,nagaur,dr. jyoti mirdha,inc,102,rajasthan,"3,307,743",19.20 %,950,62.8,1,72.98
326,pali,badri ram jakhar,inc,225,rajasthan,"2,037,573",11.94 %,987,62.39,1,63.66
327,jodhpur,chandresh kumari,inc,72,rajasthan,"3,687,165",27.74 %,916,65.94,1,
328,barmer,harish choudhary,inc,158,rajasthan,"2,603,751",32.52 %,902,56.53,1,62.1
330,udaipur,raghuvir singh meena,inc,118,rajasthan,"3,068,420",23.69 %,958,61.82,1,46.05
331,banswara,tarachand bhagora,inc,267,rajasthan,"1,797,485",26.53 %,980,56.33,1,26.47
333,rajsamand,gopal singh,inc,405,rajasthan,"1,156,597",17.18 %,990,63.14,1,62.77
334,bhilwara,dr. c. p. joshi,inc,184,rajasthan,"2,408,523",19.60 %,973,61.37,1,61.1
335,kota,ijyaraj singh,inc,239,rajasthan,"1,951,014",24.39 %,911,76.56,1,64.67
338,thiruvallur,venugopal.p,admk,70,tamil nadu,"3,728,104",35.33 %,987,84.03,2,67.17
343,kancheepuram,viswanathan.p,inc,57,tamil nadu,"3,998,252",38.95 %,986,84.49,1,66.95
345,vellore,abdul rahman,dmk,63,tamil nadu,"3,936,331",13.20 %,1007,79.17,1,60.65
348,tiruvannamalai,venugopal.d,dmk,177,tamil nadu,"2,464,875",12.75 %,994,74.21,1,58.28
350,viluppuram,anandan m,admk,92,tamil nadu,"3,458,873",16.84 %,987,71.88,2,60.19
352,salem,semmalai s,admk,90,tamil nadu,"3,482,056",15.44 %,954,72.86,2,61.45
353,namakkal,gandhiselvan.s,dmk,280,tamil nadu,"1,726,601",15.61 %,986,74.63,1,62.98
354,erode,ganeshamurthi.a.,mdmk,200,tamil nadu,"2,251,744",11.66 %,993,72.58,1,58.24
355,tiruppur,sivasami c,admk,175,tamil nadu,"2,479,052",29.11 %,989,78.68,2,67.84
359,dindigul,chitthan n s v,inc,212,tamil nadu,"2,159,775",12.31 %,998,76.26,1,59.57
360,karur,thambidurai.m,admk,429,tamil nadu,"1,064,493",13.77 %,1015,75.6,2,63.65
361,tiruchirappalli,kumar.p,admk,146,tamil nadu,"2,722,290",12.57 %,1013,83.23,2,63.81
362,perambalur,"napoleon,d.",dmk,535,tamil nadu,"565,223",14.50 %,1003,74.32,1,60.64
363,cuddalore,alagiri s,inc,157,tamil nadu,"2,605,914",14.02 %,987,78.04,1,64.27
366,nagapattinam,vijayan a k s,dmk,310,tamil nadu,"1,616,450",8.57 %,1025,83.59,1,52.56
367,thanjavur,palanimanickam.s.s,dmk,185,tamil nadu,"2,405,890",8.56 %,1035,82.64,1,61.82
368,sivaganga,chidambaram p,inc,362,tamil nadu,"1,339,101",15.90 %,1003,79.85,1,63.98
369,madurai,alagiri m.k,dmk,119,tamil nadu,"3,038,252",17.84 %,990,83.45,1,66.44
370,theni,aaron rashid.j.m,inc,385,tamil nadu,"1,245,899",13.89 %,991,77.26,1,54.95
371,virudhunagar,manicka tagore,inc,242,tamil nadu,"1,942,288",10.91 %,1007,80.15,1,57.09
372,ramanathapuram,sivakumar @ j.k. ritheesh. k,dmk,359,tamil nadu,"1,353,445",13.96 %,983,80.72,1,66.07
373,thoothukkudi,jeyadurai.s.r,dmk,276,tamil nadu,"1,750,176",11.32 %,1023,86.16,1,62.78
376,kanniyakumari,helen davidson j,dmk,253,tamil nadu,"1,870,374",11.60 %,1019,91.75,1,61.88
379,saharanpur,jagdish singh rana,bsp,91,uttar pradesh,"3,466,382",19.66 %,890,70.49,1,65.67
381,muzaffarnagar,kadir rana,bsp,49,uttar pradesh,"4,143,512",16.94 %,889,69.12,1,68.68
382,bijnor,sanjay singh chauhan,rld,73,uttar pradesh,"3,682,713",17.60 %,917,68.48,1,65.89
384,moradabad,mohammed azharuddin,inc,26,uttar pradesh,"4,772,006",25.22 %,906,56.77,1,59.29
385,rampur,jaya prada nahata,sp,194,uttar pradesh,"2,335,819",21.42 %,909,53.34,2,59.15
388,meerut,rajendra agarwal,bjp,94,uttar pradesh,"3,443,689",14.89 %,886,72.84,0,67.27
389,baghpat,ajit singh,rld,376,uttar pradesh,"1,303,048",11.95 %,861,72.01,1,67.38
390,ghaziabad,rajnath singh,bjp,27,uttar pradesh,"4,681,645",42.27 %,881,78.07,0,69.54
393,aligarh,raj kumari chauhan,bsp,77,uttar pradesh,"3,673,889",22.78 %,882,67.52,1,67.37
395,mathura,jayant chaudhary,rld,167,uttar pradesh,"2,547,184",22.78 %,863,70.36,1,70.11
396,agra,dr. ramshankar,bjp,41,uttar pradesh,"4,418,797",22.05 %,868,71.58,0,68.1
398,firozabad,akhilesh yadav,sp,172,uttar pradesh,"2,498,156",21.69 %,875,71.92,2,63.69
399,mainpuri,mulayam singh yadav,sp,254,uttar pradesh,"1,868,529",17.02 %,881,75.99,2,63.01
400,etah,kalyan singh r o madholi,ind,271,uttar pradesh,"1,774,480",13.62 %,873,70.81,1,64.52
403,bareilly,praveen singh aron,inc,39,uttar pradesh,"4,448,359",22.93 %,887,58.49,1,58.84
404,pilibhit,feroze varun gandhi,bjp,229,uttar pradesh,"2,031,007",23.45 %,895,61.47,0,53.14
405,shahjahanpur,mithlesh,sp,123,uttar pradesh,"3,006,538",18.00 %,872,59.54,2,51.78
406,kheri,zafar ali naqvi,inc,56,uttar pradesh,"4,021,243",25.38 %,894,60.56,1,47.7
408,sitapur,kaisar jahan,bsp,38,uttar pradesh,"4,483,992",23.88 %,888,61.12,1,43.7
409,hardoi,usha verma,sp,51,uttar pradesh,"4,092,845",20.44 %,868,64.57,2,51.11
411,unnao,annutandon,inc,112,uttar pradesh,"3,108,367",15.11 %,907,66.37,1,49.93
413,lucknow,lal ji tandon,bjp,31,uttar pradesh,"4,589,838",25.82 %,917,77.29,0,61.51
414,rae bareli,sonia gandhi,inc,97,uttar pradesh,"3,405,559",18.56 %,943,67.25,1,54.87
416,sultanpur,dr.sanjay singh,inc,68,uttar pradesh,"3,797,117",18.11 %,983,69.27,1,64.72
417,pratapgarh,rajkumari ratna singh,inc,109,uttar pradesh,"3,209,141",17.50 %,998,70.09,1,69.17
418,farrukhabad,salman khursheed,inc,250,uttar pradesh,"1,885,204",20.05 %,874,69.04,1,59.55
419,etawah,premdas,sp,315,uttar pradesh,"1,581,810",18.15 %,870,78.41,2,58.34
420,kannauj,akhilesh yadav,sp,299,uttar pradesh,"1,656,616",19.27 %,879,72.7,2,58.01
423,jalaun,ghansyam anuragi,sp,294,uttar pradesh,"1,689,974",16.19 %,865,73.75,2,64.18
424,jhansi,pradeep kumar jain (aditya),inc,232,uttar pradesh,"1,998,603",14.54 %,890,75.05,1,67.48
426,banda,r. k. singh patel,sp,266,uttar pradesh,"1,799,410",17.05 %,863,66.67,2,50.85
427,fatehpur,rakesh sachan,sp,155,uttar pradesh,"2,632,733",14.05 %,901,67.43,2,51.62
428,kaushambi,shailendra kumar,sp,312,uttar pradesh,"1,599,596",23.70 %,908,61.28,2,52.79
430,allahabad,kunwar rewati raman singh,sp,13,uttar pradesh,"5,954,391",20.63 %,901,72.32,2,61.95
431,barabanki,p.l.punia,inc,107,uttar pradesh,"3,260,699",21.96 %,910,61.75,1,50.48
432,faizabad,nirmal khatri,inc,176,uttar pradesh,"2,470,996",18.29 %,962,68.73,1,60.47
433,ambedkar nagar,rakesh pandey,bsp,186,uttar pradesh,"2,397,888",18.30 %,978,72.23,1,65.88
434,bahraich,kamal kishor,inc,89,uttar pradesh,"3,487,731",46.48 %,892,49.36,1,41.82
